Grupo_Filial;Filial;GROSS_SALE;TAXES;NET_REVENUE;COGS;GROSS_PROFIT;Delivery_Services;Store_Supplies;Rent_Expense;Utilities;Salaries_And_Wages;Benefits;Depreciation_And_Amortization;Marketing_And_Advertising;Maintenance_And_Repairs;Insurance;Other_Operating_Expenses;Store_Operating_Income;Interest_Expense;Interest_Income;NET_INCOME_BEFORE_TAX;Income_Tax_Expense;NET_INCOME;Start Date;End Date
Grupo Raízes do Brasil;Mercado_Central;1694065,0356424223;-135586,76457430143;1558478,2710681208;-929162,6240471071;629315,6470210138;-23105,107713302605;-11570,184746239422;-36701,0489587761;-18230,991649804946;-92269,7605555503;19774,811803370594;-6261,075061729351;-14415,421332046162;-4892,362365423795;-1568,9925183238902;-8015,813230935674;432059,70069225214;0;3510,318404343783;435570,01909659593;-65574,57494672918;369995,44414986676;aug/25;aug/25
Grupo Raízes do Brasil;Praia_Market;1803581,3737835472;-165659,13992955742;1637922,2338539897;-899980,4723346742;737941,7615193155;-33399,3339446946;-9214,6050101938;-13318,978723890306;-8817,986250425261;-113058,30381391339;30190,289984715957;-5328,704314644203;-15941,020716534958;-3686,3158440329903;-1822,3836935845086;-12788,627968759429;550755,7912233582;0;2795,0371629752976;553550,8283863335;-121801,75687955576;431749,0715067778;aug/25;aug/25
Grupo Raízes do Brasil;Jardim_Alimentos;1690306,3249937566;-125405,5081182932;1564900,8168754634;-672166,2324757122;892734,5843997512;-41253,569567925246;-11136,82134875093;-24985,8951864525;-16692,17595098051;-131300,58213330212;33398,055042737906;-3072,7698365478964;-21583,771899898664;-1325,6592088661464;-738,7579706648788;-15289,929667782542;658752,7066713175;0;3660,9374788125488;662413,64415013;-163007,8271245707;499405,81702555926;aug/25;aug/25
Grupo Raízes do Brasil;Point_do_Sabor;1762385,6167500466;-150315,175553079;1612070,4411969676;-949527,0425453428;662543,3986516248;-28510,08543041687;-7535,96490077298;-11349,96367943525;-15612,682554568106;-98432,48838004682;28658,15917908941;-8582,419769419465;-15469,85203313403;-2821,456728316192;-1721,9665961998473;-9496,887563123244;491667,79019528144;0;3840,813047804137;495508,60324308556;-112394,99422885937;383113,6090142262;aug/25;aug/25
Grupo Raízes do Brasil;Estrela_do_Bairro;1673893,494263894;-91299,56542230883;1582593,928841585;-894709,8888715195;687884,0399700656;-29992,630934052766;-17753,418182385903;-13049,289575753688;-19549,485351041247;-98507,67234510946;28569,20522950192;-2639,456716870136;-16026,559346286871;-1636,0251459873502;-1114,9997475685448;-10033,805179298368;506149,9026752131;0;38,562601301290364;506188,4652765144;-85511,8654233335;420676,59985318093;aug/25;aug/25
Grupo Raízes do Brasil;Sol_Nascente_Varejo;1678580,3732953013;-113806,28999525293;1564774,0833000485;-869681,600472179;695092,4828278695;-31147,7450279738;-14509,498730576042;-27431,368056424482;-6172,752534444497;-104665,40748834635;22002,46185677666;-5342,851527758723;-16157,06747447709;-3154,0711830731766;-1059,9272232184012;-7936,536658612911;499517,71877974074;0;1242,1953742520548;500759,9141539928;-97326,18949997249;403433,7246540203;aug/25;aug/25
Vértice Alimentos;Vila_Nova_Compras;1780625,5071943928;-123343,47572072649;1657282,0314736664;-956530,6550898178;700751,3763838486;-30023,948703050442;-26038,64356732105;-18762,69938360122;-13156,749524248655;-107473,37925435712;25171,451357046215;-2288,3046247022307;-15786,946596492355;-4202,74038103074;-1048,1441974919012;-11453,89444520925;495687,37706338987;0;3393,3346544278447;499080,7117178177;-114019,90033815645;385060,81137966126;aug/25;aug/25
Vértice Alimentos;Bairro_Feliz_Mercado;1749135,0479432896;-151022,82209280558;1598112,225850484;-910821,0797760987;687291,1460743854;-31309,99723506414;-7624,1718049432975;-31349,810479840133;-11246,649195107719;-98550,41261299636;28396,82644262445;-2092,757391616911;-16093,839947932855;-3251,1649741583838;-1668,6267106762973;-12796,493311927694;499704,0488527459;0;4662,628986253395;504366,6778389993;-110221,88409648056;394144,79374251876;aug/25;aug/25
Vértice Alimentos;Economia_Pra_Voce;1795854,2767999992;-138618,43358503867;1657235,8432149605;-931792,9592244631;725442,8839904974;-31570,790915503683;-21515,458971122727;-18180,05823212268;-6697,028769649778;-134603,38070285783;39867,36599763918;-3074,706801182345;-17595,066938838183;-4395,629255880162;-1222,8171280379584;-13124,9721936944;513330,34007924685;0;4056,9905226815004;517387,33060192835;-90595,70024029088;426791,63036163745;aug/25;aug/25
Vértice Alimentos;Qualidade_Sempre;1705822,289812935;-170305,87932077734;1535516,4104921578;-903813,1005767842;631703,3099153736;-28768,43447960724;-12769,610829645468;-41970,14247515427;-19889,95148093736;-89997,73558671694;20763,773077662303;-8110,722835197848;-15055,372145815514;-4465,250849038091;-1241,3301203024373;-11340,856497614757;418857,675693006;0;3080,620143032339;421938,29583603836;-73203,67371802626;348734,6221180121;aug/25;aug/25
