Grupo_Filial;Filial;GROSS_SALE;TAXES;NET_REVENUE;COGS;GROSS_PROFIT;Delivery_Services;Store_Supplies;Rent_Expense;Utilities;Salaries_And_Wages;Benefits;Depreciation_And_Amortization;Marketing_And_Advertising;Maintenance_And_Repairs;Insurance;Other_Operating_Expenses;Store_Operating_Income;Interest_Expense;Interest_Income;NET_INCOME_BEFORE_TAX;Income_Tax_Expense;NET_INCOME;Start Date;End Date
Grupo Raízes do Brasil;Mercado_Central;1675647,3556331955;-138468,69018304127;1537178,6654501543;-937836,8129559136;599341,8524942407;-35341,01363150952;-10671,326875626122;-19670,31698234041;-13761,579931165514;-86727,47819792017;23234,955060519405;-9143,87543834131;-22644,833186152882;-2256,847579602025;-1435,6427702417095;-9999,229039474074;410924,6639223864;-9414,645201003843;1014,7018696928067;402524,7205910754;-77328,47238991102;325196,2482011644;apr/25;apr/25
Grupo Raízes do Brasil;Praia_Market;1143809,6905655456;-77497,99820908919;1066311,6923564563;-731066,2028612538;335245,48949520255;-11812,3209070593;-9608,008408836555;-15362,432552973063;-7393,864768403209;-57420,86331185319;14289,323989525099;-4185,372534372736;-12108,43426841002;-4363,548126551912;-1772,3897419602727;-3365,9852328430807;222141,5936314643;-2139,122530505367;1281,789054981267;221284,26015594017;-52513,03116210949;168771,22899383068;apr/25;apr/25
Grupo Raízes do Brasil;Jardim_Alimentos;1272551,7807816889;-85904,14151240293;1186647,6392692858;-715749,4964349336;470898,1428343522;-21523,8148698148;-14064,5124636358;-25501,665933875123;-18385,452136806314;-70290,65052300556;17051,01826940565;-3850,9014616972427;-10161,880114091757;-1836,5486585985077;-800,4655617642734;-5462,5938473775;316070,67553309095;-12070,420569671467;2063,168190857899;306063,4231542774;-54376,126739380226;251687,29641489714;apr/25;apr/25
Grupo Raízes do Brasil;Point_do_Sabor;1602753,7726296203;-121384,13336612118;1481369,639263499;-826837,9070870099;654531,7321764892;-30327,388944049784;-15574,649502295419;-21889,107322221713;-11960,88074055597;-96281,11161670346;28201,10731145908;-8895,60891933125;-26058,30619876148;-3207,6677635810743;-690,1406677619599;-10765,024527913398;457082,9532847727;-17718,466922035634;4275,93123297415;443640,41759571125;-96720,45882254395;346919,9587731673;apr/25;apr/25
Grupo Raízes do Brasil;Estrela_do_Bairro;2137390,1678392873;-179800,38730936262;1957589,7805299247;-1339856,301864536;617733,4786653887;-33796,307771390464;-14014,484323302922;-46495,32477725272;-15640,112106801378;-85038,95564444322;18491,10042104502;-2744,8868245857616;-20595,336055200616;-4195,786983175479;-1158,422692002709;-8112,73198520871;404432,22992306977;-12757,568815409937;1138,6428456892372;392813,30395334907;-96261,61575779169;296551,6881955574;apr/25;apr/25
Grupo Raízes do Brasil;Sol_Nascente_Varejo;1617236,194945479;-134801,78479529978;1482434,4101501792;-898583,5417041546;583850,8684460246;-17782,521640435145;-11521,00110325209;-39575,7157069915;-17184,812532655953;-79338,70915771254;21391,941031063812;-2981,9403696167424;-13592,593071693005;-4840,957565551997;-823,5474040200747;-6578,1643804444975;411022,84654471494;-9849,390902181205;1947,7959416136512;403121,2515841474;-83839,87324876404;319281,3783353834;apr/25;apr/25
Vértice Alimentos;Vila_Nova_Compras;2161773,5538425515;-172019,97184164025;1989753,5820009112;-1235106,2596703311;754647,3223305801;-39280,829613115005;-13637,644590257338;-40062,582827070684;-10064,277181903719;-114984,03720644648;28034,707760647452;-7406,57662702345;-18866,18679412782;-4257,724956514004;-1142,488754254448;-9581,153412667987;523398,5281278466;-19833,82947187078;2475,983081983185;506040,681737959;-94746,7823591485;411293,8993788105;apr/25;apr/25
Vértice Alimentos;Bairro_Feliz_Mercado;738188,2583700499;-52202,369697941074;685985,8886721088;-433911,29631997296;252074,5923521358;-10039,846274760053;-5395,697015860695;-12542,243110771593;-19562,126358084148;-35844,65383427014;8437,708233601397;-6830,981216710568;-10968,831232660952;-2954,013298150422;-749,4585353947109;-3372,1074296461006;152252,34227942783;-5870,115494836546;458,6890918417748;146840,91587643305;-26851,211604124423;119989,70427230862;apr/25;apr/25
Vértice Alimentos;Economia_Pra_Voce;1342137,7395642712;-71417,50954774272;1270720,2300165284;-887802,3002742637;382917,9297422647;-18101,315961113218;-9712,140019219954;-24870,870938101943;-18228,83142880837;-47437,804512975614;13743,27682342733;-7560,085556878959;-12723,5831590575;-3592,659974935605;-1733,930171998906;-5084,610167878293;247615,37467472363;-5166,153771848971;1060,4146556361786;243509,63555851084;-51510,7068902185;191998,92866829236;apr/25;apr/25
Vértice Alimentos;Qualidade_Sempre;768620,0248571411;-38897,80856957021;729722,2162875709;-404624,1988337991;325098,0174537718;-14641,715377827544;-7144,193566177964;-45990,08830602003;-17390,209953492464;-55999,91269127532;12580,791608726478;-9737,160004558187;-12239,036784054932;-3188,3009550680476;-1435,039558851956;-5517,076705904342;164396,07515926752;-5775,994638535017;455,01438313805454;159075,09490387054;-34199,03228109033;124876,06262278021;apr/25;apr/25
